# artifact: hven IPQP E1 acceptance arm (M6 W1 T10, spec section 8 A4/Q4/A13/A14)
# producer: bench/ipqp_e1_arm.cpp (hven_sqp_ipqp_e1_arm)
# git describe: a142a1380890-dirty
# mode: mu-sweep
# date (UTC): 2026-09-01T13:27:39Z
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# cell recipe: docs/notes/data/2026-08-m6-e1-acquisition/generator/e1_generate.cpp
# PIQP: NEVER run, linked or read as source here; its committed CSVs are the
#       oracle this arm is compared against (CLAUDE.md section 6).
# family: e1 = tier-direct A4 cell; hs/corpus = SqpDriver under kIpm;
# indefinite = tier-direct nonconvex QP fixture.
mu,family,id,status,wall_s,ipqp_iters,ipqp_factorizations,ipqp_symbolic_analyses,ipqp_solves,ipqp_pattern_verifies,ipqp_rho_demanded_max,ipqp_rho_demanded_last,ipqp_inertia_retries,ipqp_iters_at_elevated_rho,ipqp_ladder_reclimbs,ipqp_pivot_reroute_primal,ipqp_pivot_reroute_dual_fallback,ipqp_iters_ladder_armed_no_advance,ipqp_final_inertia_read,ipqp_reg_decreases,ipqp_reg_increases,ipqp_prox_center_updates,ipqp_restart_repairs,ipqp_restart_shift_max,ipqp_mu_adopted,ipqp_warm_restart_abandoned,ipqp_declined_pinned,ipqp_tier_retired_after,ipqp_face_uncertain,ipqp_refine_accepted,ipqp_refine_refused,ipqp_to_refine,ipqp_to_ssn,ipqp_to_walk,ipqp_escapes,ipqp_escape_budget,ipqp_escape_stall,ipqp_escape_indefinite,ipqp_escape_numerical,ipqp_escape_infeasible_suspect,ipqp_alpha_p_min,ipqp_alpha_d_min,ipqp_read_kept_tight_sides,ipqp_read_barrier_noise_sides
1.000000e-02,e1,e1_f7_n4000_af30_m1e-2,optimal,4.289327e-01,19,20,1,38,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.748508e-01,4.211847e-02,0,0
1.000000e-01,e1,e1_f7_n4000_af30_m1e-2,optimal,8.293131e-01,40,41,1,80,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.027633e-02,1.029010e-02,0,0
1.000000e+00,e1,e1_f7_n4000_af30_m1e-2,optimal,6.865778e-01,33,34,1,66,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.032969e-02,1.113383e-02,0,0
1.000000e-03,e1,e1_f7_n4000_af30_m1e-4,optimal,7.460620e-01,36,37,1,72,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,1015,0,0,0,0,0,0,0,0,0,0,0,7.744753e-02,5.408286e-02,0,0
1.000000e-02,e1,e1_f7_n4000_af30_m1e-4,optimal,3.527073e-01,15,16,1,30,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,9,0,9,0,0.000000e+00,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,3.730156e-01,2.264647e-01,0,0
1.000000e-01,e1,e1_f7_n4000_af30_m1e-4,optimal,1.350428e+00,68,69,1,136,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,3.317036e-04,3.846404e-04,0,0
1.000000e+00,e1,e1_f7_n4000_af30_m1e-4,optimal,1.411175e+00,72,73,1,144,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,981,0,0,0,0,0,0,0,0,0,0,0,2.866424e-03,1.580835e-04,0,0
1.000000e-03,e1,e1_f7_n4000_af30_m1e-6,optimal,4.625214e-01,21,22,1,42,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,10,0,10,0,0.000000e+00,0,0,0,0,1114,0,0,0,0,0,0,0,0,0,0,0,1.615903e-01,6.696138e-02,0,0
1.000000e-02,e1,e1_f7_n4000_af30_m1e-6,optimal,3.926259e-01,17,18,1,34,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,10,0,10,0,0.000000e+00,0,0,0,0,1401,0,0,0,0,0,0,0,0,0,0,0,3.723673e-01,2.208591e-01,0,0
1.000000e-01,e1,e1_f7_n4000_af30_m1e-6,optimal,1.406639e+00,71,72,1,142,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,1738,0,0,0,0,0,0,0,0,0,0,0,2.111062e-02,1.917629e-03,0,0
1.000000e+00,e1,e1_f7_n4000_af30_m1e-6,optimal,1.860773e+00,96,97,1,192,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,1733,0,0,0,0,0,0,0,0,0,0,0,1.378093e-02,3.383056e-03,0,0
1.000000e-03,e1,e1_f7_n20000_af01_m1e-2,optimal,3.811150e+00,35,36,1,70,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,10,0,10,0,0.000000e+00,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1.611939e-01,5.700903e-03,0,0
1.000000e-02,e1,e1_f7_n20000_af01_m1e-2,optimal,3.723222e+00,34,35,1,68,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,11,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244821e-01,3.630277e-03,0,0
1.000000e-01,e1,e1_f7_n20000_af01_m1e-2,numerical_error,3.730371e+00,35,35,1,70,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,4,0,4,0,0.000000e+00,0,0,0,0,888,0,0,0,0,0,1,0,1,0,0,0,3.569357e-02,9.747719e-05,0,0
1.000000e+00,e1,e1_f7_n20000_af01_m1e-2,numerical_error,4.177158e+00,40,40,1,80,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,4,0,4,0,0.000000e+00,0,0,0,0,871,0,0,0,0,0,1,0,1,0,0,0,1.932410e-02,2.413225e-06,0,0
1.000000e-03,e1,e1_f7_n20000_af01_m1e-4,optimal,3.826865e+00,35,36,1,70,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,10,0,10,0,0.000000e+00,0,0,0,0,9191,0,0,0,0,0,0,0,0,0,0,0,8.876158e-02,1.465035e-02,0,0
1.000000e-02,e1,e1_f7_n20000_af01_m1e-4,optimal,3.535521e+00,32,33,1,64,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,10,0,10,0,0.000000e+00,0,0,0,0,2408,0,0,0,0,0,0,0,0,0,0,0,1.111974e-01,7.110088e-03,0,0
