arm,task,sha,round,row_index,row,wall_s
03,T8.2,b43580f,1,2,f7_n1000_bound_physics/RelaxBounds,0.031865966
03,T8.2,b43580f,1,3,f7_n5000_bound_physics/MakeParameter,0.178718825
03,T8.2,b43580f,1,4,f7_n5000_bound_physics/MakeConstraint,0.173407361
03,T8.2,b43580f,1,5,f7_n5000_bound_physics/RelaxBounds,0.172896834
03,T8.2,b43580f,1,6,f7_n10000_bound_neutral/MakeParameter,0.541284031
03,T8.2,b43580f,1,7,f7_n10000_bound_neutral/MakeConstraint,0.523250218
03,T8.2,b43580f,1,8,f7_n10000_bound_neutral/RelaxBounds,0.524373183
03,T8.2,b43580f,1,9,f7_n20000_bound_neutral/MakeParameter,1.127387296
03,T8.2,b43580f,1,10,f7_n20000_bound_neutral/MakeConstraint,1.093652768
03,T8.2,b43580f,1,11,f7_n20000_bound_neutral/RelaxBounds,1.095431580
03,T8.2,b43580f,1,12,hs071_x1_fixed/MakeParameter,0.000177239
03,T8.2,b43580f,1,13,hs071_x1_fixed/MakeConstraint,0.000129080
03,T8.2,b43580f,1,14,hs071_x1_fixed/RelaxBounds,0.000134099
03,T8.2,b43580f,1,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016020573
03,T8.2,b43580f,1,16,hs071_x1_fixed/MakeParameter/cap1,0.000076819
03,T8.2,b43580f,1,17,infeas2_spike/MakeParameter/stalled,0.000622957
03,T8.2,b43580f,1,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000186589
03,T8.2,b43580f,2,0,f7_n1000_bound_physics/MakeParameter,0.387944444
03,T8.2,b43580f,2,1,f7_n1000_bound_physics/MakeConstraint,0.032004285
03,T8.2,b43580f,2,2,f7_n1000_bound_physics/RelaxBounds,0.031968274
03,T8.2,b43580f,2,3,f7_n5000_bound_physics/MakeParameter,0.179354558
03,T8.2,b43580f,2,4,f7_n5000_bound_physics/MakeConstraint,0.173346307
03,T8.2,b43580f,2,5,f7_n5000_bound_physics/RelaxBounds,0.173227588
03,T8.2,b43580f,2,6,f7_n10000_bound_neutral/MakeParameter,0.540158273
03,T8.2,b43580f,2,7,f7_n10000_bound_neutral/MakeConstraint,0.524416579
03,T8.2,b43580f,2,8,f7_n10000_bound_neutral/RelaxBounds,0.523060127
03,T8.2,b43580f,2,9,f7_n20000_bound_neutral/MakeParameter,1.125508236
03,T8.2,b43580f,2,10,f7_n20000_bound_neutral/MakeConstraint,1.094617377
03,T8.2,b43580f,2,11,f7_n20000_bound_neutral/RelaxBounds,1.091448772
03,T8.2,b43580f,2,12,hs071_x1_fixed/MakeParameter,0.000178569
03,T8.2,b43580f,2,13,hs071_x1_fixed/MakeConstraint,0.000128350
03,T8.2,b43580f,2,14,hs071_x1_fixed/RelaxBounds,0.000133269
03,T8.2,b43580f,2,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016034062
03,T8.2,b43580f,2,16,hs071_x1_fixed/MakeParameter/cap1,0.000076670
03,T8.2,b43580f,2,17,infeas2_spike/MakeParameter/stalled,0.000610167
03,T8.2,b43580f,2,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000185269
03,T8.2,b43580f,3,0,f7_n1000_bound_physics/MakeParameter,1.012246948
03,T8.2,b43580f,3,1,f7_n1000_bound_physics/MakeConstraint,0.032158634
03,T8.2,b43580f,3,2,f7_n1000_bound_physics/RelaxBounds,0.031980704
03,T8.2,b43580f,3,3,f7_n5000_bound_physics/MakeParameter,0.178874941
03,T8.2,b43580f,3,4,f7_n5000_bound_physics/MakeConstraint,0.173185388
03,T8.2,b43580f,3,5,f7_n5000_bound_physics/RelaxBounds,0.172885459
03,T8.2,b43580f,3,6,f7_n10000_bound_neutral/MakeParameter,0.540826550
03,T8.2,b43580f,3,7,f7_n10000_bound_neutral/MakeConstraint,0.522954527
03,T8.2,b43580f,3,8,f7_n10000_bound_neutral/RelaxBounds,0.522473869
03,T8.2,b43580f,3,9,f7_n20000_bound_neutral/MakeParameter,1.128060365
03,T8.2,b43580f,3,10,f7_n20000_bound_neutral/MakeConstraint,1.093258533
03,T8.2,b43580f,3,11,f7_n20000_bound_neutral/RelaxBounds,1.097491803
03,T8.2,b43580f,3,12,hs071_x1_fixed/MakeParameter,0.000178880
03,T8.2,b43580f,3,13,hs071_x1_fixed/MakeConstraint,0.000130190
03,T8.2,b43580f,3,14,hs071_x1_fixed/RelaxBounds,0.000134369
03,T8.2,b43580f,3,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016050991
03,T8.2,b43580f,3,16,hs071_x1_fixed/MakeParameter/cap1,0.000082809
03,T8.2,b43580f,3,17,infeas2_spike/MakeParameter/stalled,0.000622737
03,T8.2,b43580f,3,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000188739
03,T8.2,b43580f,4,0,f7_n1000_bound_physics/MakeParameter,0.364689255
03,T8.2,b43580f,4,1,f7_n1000_bound_physics/MakeConstraint,0.031958025
