arm,arm_label,row,round,wall_s
a3,E1,f7_n5000_bound_physics/MakeParameter,2,0.187524873
a3,E1,f7_n5000_bound_physics/MakeConstraint,2,0.181258783
a3,E1,f7_n5000_bound_physics/RelaxBounds,2,0.178107768
a3,E1,f7_n10000_bound_neutral/MakeParameter,2,0.555350813
a3,E1,f7_n10000_bound_neutral/MakeConstraint,2,0.538582815
a3,E1,f7_n10000_bound_neutral/RelaxBounds,2,0.543028032
a3,E1,f7_n20000_bound_neutral/MakeParameter,2,1.164294347
a3,E1,f7_n20000_bound_neutral/MakeConstraint,2,1.126239781
a3,E1,f7_n20000_bound_neutral/RelaxBounds,2,1.125685884
a3,E1,hs071_x1_fixed/MakeParameter,2,0.000184089
a3,E1,hs071_x1_fixed/MakeConstraint,2,0.000142609
a3,E1,hs071_x1_fixed/RelaxBounds,2,0.000134450
a3,E1,f7_n1000_bound_physics/MakeConstraint,3,0.032570082
a3,E1,f7_n1000_bound_physics/RelaxBounds,3,0.032669302
a3,E1,f7_n5000_bound_physics/MakeParameter,3,0.186295709
a3,E1,f7_n5000_bound_physics/MakeConstraint,3,0.180941364
a3,E1,f7_n5000_bound_physics/RelaxBounds,3,0.177563481
a3,E1,f7_n10000_bound_neutral/MakeParameter,3,0.558546078
a3,E1,f7_n10000_bound_neutral/MakeConstraint,3,0.539214391
a3,E1,f7_n10000_bound_neutral/RelaxBounds,3,0.542332416
a3,E1,f7_n20000_bound_neutral/MakeParameter,3,1.160374445
a3,E1,f7_n20000_bound_neutral/MakeConstraint,3,1.130021342
a3,E1,f7_n20000_bound_neutral/RelaxBounds,3,1.124455149
a3,E1,hs071_x1_fixed/MakeParameter,3,0.000181969
a3,E1,hs071_x1_fixed/MakeConstraint,3,0.000141759
a3,E1,hs071_x1_fixed/RelaxBounds,3,0.000135079
a3,E1,f7_n1000_bound_physics/MakeConstraint,4,0.032726532
a3,E1,f7_n1000_bound_physics/RelaxBounds,4,0.032676982
a3,E1,f7_n5000_bound_physics/MakeParameter,4,0.186004980
a3,E1,f7_n5000_bound_physics/MakeConstraint,4,0.180849975
a3,E1,f7_n5000_bound_physics/RelaxBounds,4,0.177737090
a3,E1,f7_n10000_bound_neutral/MakeParameter,4,0.553527242
a3,E1,f7_n10000_bound_neutral/MakeConstraint,4,0.536482234
a3,E1,f7_n10000_bound_neutral/RelaxBounds,4,0.539343331
a3,E1,f7_n20000_bound_neutral/MakeParameter,4,1.159522130
a3,E1,f7_n20000_bound_neutral/MakeConstraint,4,1.125944733
a3,E1,f7_n20000_bound_neutral/RelaxBounds,4,1.125488744
a3,E1,hs071_x1_fixed/MakeParameter,4,0.000184169
a3,E1,hs071_x1_fixed/MakeConstraint,4,0.000143329
a3,E1,hs071_x1_fixed/RelaxBounds,4,0.000137219
a3,E1,f7_n1000_bound_physics/MakeConstraint,5,0.032453133
a3,E1,f7_n1000_bound_physics/RelaxBounds,5,0.032525182
a3,E1,f7_n5000_bound_physics/MakeParameter,5,0.185859850
a3,E1,f7_n5000_bound_physics/MakeConstraint,5,0.181871730
a3,E1,f7_n5000_bound_physics/RelaxBounds,5,0.177631221
a3,E1,f7_n10000_bound_neutral/MakeParameter,5,0.553852671
a3,E1,f7_n10000_bound_neutral/MakeConstraint,5,0.538112727
a3,E1,f7_n10000_bound_neutral/RelaxBounds,5,0.540748354
a3,E1,f7_n20000_bound_neutral/MakeParameter,5,1.161706709
a3,E1,f7_n20000_bound_neutral/MakeConstraint,5,1.127303506
a3,E1,f7_n20000_bound_neutral/RelaxBounds,5,1.127889683
a3,E1,hs071_x1_fixed/MakeParameter,5,0.000180189
a3,E1,hs071_x1_fixed/MakeConstraint,5,0.000133379
a3,E1,hs071_x1_fixed/RelaxBounds,5,0.000135670
a4,E2,f7_n1000_bound_physics/MakeConstraint,1,0.032439693
a4,E2,f7_n1000_bound_physics/RelaxBounds,1,0.032550852
a4,E2,f7_n5000_bound_physics/MakeParameter,1,0.185621821
a4,E2,f7_n5000_bound_physics/MakeConstraint,1,0.179384231
a4,E2,f7_n5000_bound_physics/RelaxBounds,1,0.177518301
a4,E2,f7_n10000_bound_neutral/MakeParameter,1,0.553845107
a4,E2,f7_n10000_bound_neutral/MakeConstraint,1,0.536671981
a4,E2,f7_n10000_bound_neutral/RelaxBounds,1,0.538129103
a4,E2,f7_n20000_bound_neutral/MakeParameter,1,1.155107435
a4,E2,f7_n20000_bound_neutral/MakeConstraint,1,1.110569001
a4,E2,f7_n20000_bound_neutral/RelaxBounds,1,1.115862566
a4,E2,hs071_x1_fixed/MakeParameter,1,0.000177949
a4,E2,hs071_x1_fixed/MakeConstraint,1,0.000145079
a4,E2,hs071_x1_fixed/RelaxBounds,1,0.000133999
a4,E2,f7_n1000_bound_physics/MakeConstraint,2,0.032699822
