Filename                                                                                      Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
home/ghecht/Projects/hven/include/hven/model/claim_space.h                                         85                 8    90.59%          29                 4    86.21%         105                22    79.05%          42                 8    80.95%
home/ghecht/Projects/hven/include/hven/model/claim_stream_source.h                                  4                 1    75.00%           2                 1    50.00%           2                 1    50.00%           2                 0   100.00%
home/ghecht/Projects/hven/include/hven/model/nlp_aggregate.h                                       64                 6    90.62%          19                 1    94.74%         131                11    91.60%          38                 6    84.21%
home/ghecht/Projects/hven/include/hven/model/nlp_model.h                                           14                 0   100.00%           8                 0   100.00%          18                 0   100.00%           4                 0   100.00%
home/ghecht/Projects/hven/include/hven/model/nlp_model_aggregate.h                                 15                 0   100.00%          15                 0   100.00%          29                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/model/nlp_problem.h                                          3                 0   100.00%           3                 0   100.00%           6                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/model/nlp_problem_model.h                                    9                 2    77.78%           9                 2    77.78%           9                 2    77.78%           0                 0         -
home/ghecht/Projects/hven/include/hven/model/nlp_solver.h                                           1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/model/non_linear_program.h                                  92                53    42.39%          79                51    35.44%         300               227    24.33%          10                 3    70.00%
home/ghecht/Projects/hven/include/hven/model/structure_identity.h                                  40                 0   100.00%          17                 0   100.00%          71                 0   100.00%          21                 2    90.48%
home/ghecht/Projects/hven/include/hven/warmstart/ipm_polish_extension.h                             7                 0   100.00%           1                 0   100.00%           1                 0   100.00%           4                 0   100.00%
home/ghecht/Projects/hven/include/hven/warmstart/warm_start_data.h                                 14                 0   100.00%           2                 0   100.00%           2                 0   100.00%           8                 0   100.00%
home/ghecht/Projects/hven/src/core/enum_names.cpp                                                  13                 7    46.15%           2                 0   100.00%          28                12    57.14%          22                 8    63.64%
home/ghecht/Projects/hven/src/core/ledger.cpp                                                      20                 3    85.00%           3                 0   100.00%          56                 7    87.50%          22                 4    81.82%
home/ghecht/Projects/hven/src/core/pattern_hash.cpp                                                 4                 0   100.00%           1                 0   100.00%          11                 0   100.00%           2                 0   100.00%
home/ghecht/Projects/hven/src/core/version.cpp                                                      1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/src/drivers/aggregate_eval_seam.cpp                                     204                14    93.14%          27                 0   100.00%         474                52    89.03%         154                28    81.82%
home/ghecht/Projects/hven/src/drivers/interior_point_solver.cpp                                  1156               333    71.19%          93                12    87.10%        2250               618    72.53%         929               380    59.10%
home/ghecht/Projects/hven/src/drivers/interior_point_solver_globalization.cpp                     623               192    69.18%         112                14    87.50%        1545               419    72.88%         416               149    64.18%
home/ghecht/Projects/hven/src/drivers/interior_point_solver_print.cpp                              81                67    17.28%          12                10    16.67%         229               193    15.72%          50                42    16.00%
home/ghecht/Projects/hven/src/drivers/interior_point_solver_settings.cpp                          291               159    45.36%          70                45    35.71%         484               291    39.88%         180                99    45.00%
home/ghecht/Projects/hven/src/drivers/problem_scaling.cpp                                          41                 1    97.56%           7                 0   100.00%          69                 0   100.00%          24                 1    95.83%
home/ghecht/Projects/hven/src/drivers/solver_init.cpp                                               2                 0   100.00%           2                 0   100.00%          21                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/src/drivers/sqp_driver.cpp                                             1214                56    95.39%          85                 1    98.82%        2526               138    94.54%        1042               146    85.99%
home/ghecht/Projects/hven/src/drivers/sqp_options.cpp                                             107                 0   100.00%           1                 0   100.00%         163                 0   100.00%          82                 2    97.56%
home/ghecht/Projects/hven/src/drivers/sqp_print.cpp                                                22                 7    68.18%           3                 1    66.67%          57                14    75.44%          26                10    61.54%
home/ghecht/Projects/hven/src/globalization/sqp/funnel.cpp                                         54                 0   100.00%           3                 0   100.00%          56                 0   100.00%          42                 0   100.00%
home/ghecht/Projects/hven/src/globalization/sqp/soc_elastic_restoration.cpp                       208                 8    96.15%          23                 1    95.65%         306                11    96.41%         132                10    92.42%
home/ghecht/Projects/hven/src/interior/kkt_factorization.cpp                                       38                 2    94.74%          12                 0   100.00%          81                 8    90.12%          14                 2    85.71%
home/ghecht/Projects/hven/src/interior/utils/get_core_count.cpp                                    28                 5    82.14%           7                 2    71.43%         110                12    89.09%          14                 3    78.57%
home/ghecht/Projects/hven/src/interior/utils/thread_pool.cpp                                       10                 1    90.00%           4                 0   100.00%          24                 3    87.50%           2                 0   100.00%
home/ghecht/Projects/hven/src/kkt/kkt_calls.cpp                                                    16                 1    93.75%           5                 0   100.00%          30                 4    86.67%           8                 1    87.50%
home/ghecht/Projects/hven/src/linear/dense_symmetric_factor.cpp                                    77                 4    94.81%          10                 0   100.00%         141                10    92.91%          52                 6    88.46%
home/ghecht/Projects/hven/src/linear/pardiso_session.cpp                                           95                21    77.89%          11                 1    90.91%         175                55    68.57%          76                35    53.95%
home/ghecht/Projects/hven/src/linear/symmetric_factor_mkl.cpp                                     268                39    85.45%          46                 1    97.83%         547               106    80.62%         228                54    76.32%
home/ghecht/Projects/hven/src/model/aggregate_declaration.cpp                                      87                 3    96.55%          14                 0   100.00%         165                16    90.30%          68                 9    86.76%
home/ghecht/Projects/hven/src/model/nlp_adapter.cpp                                               144                 8    94.44%          16                 0   100.00%         256                31    87.89%         100                11    89.00%
home/ghecht/Projects/hven/src/model/nlp_model_aggregate.cpp                                       178                 6    96.63%          26                 0   100.00%         391                20    94.88%         128                 9    92.97%
home/ghecht/Projects/hven/src/model/nlp_problem_model.cpp                                         236                 2    99.15%          34                 0   100.00%         449                 9    98.00%         194                24    87.63%
home/ghecht/Projects/hven/src/model/nlp_solver.cpp                                                 41                 9    78.05%          18                 7    61.11%         110                28    74.55%          16                 2    87.50%
home/ghecht/Projects/hven/src/model/non_linear_program.cpp                                        747                57    92.37%         103                 2    98.06%        1953               261    86.64%         576                91    84.20%
home/ghecht/Projects/hven/src/qp/ipqp_engine.cpp                                                 1070                80    92.52%          73                 1    98.63%        2599               163    93.73%         865               155    82.08%
home/ghecht/Projects/hven/src/qp/ipqp_kkt_layout.cpp                                              134                 3    97.76%          11                 0   100.00%         206                16    92.23%          92                15    83.70%
home/ghecht/Projects/hven/src/qp/ipqp_trace.cpp                                                     1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/src/qp/qp_engine.cpp                                                    932                30    96.78%          57                 0   100.00%        1435                42    97.07%         724                56    92.27%
home/ghecht/Projects/hven/src/qp/ssn_engine.cpp                                                   632                29    95.41%          30                 0   100.00%        1099                79    92.81%         506                37    92.69%
home/ghecht/Projects/hven/src/warmstart/continuation.cpp                                          100                 7    93.00%           3                 0   100.00%         218                27    87.61%          73                12    83.56%
home/ghecht/Projects/hven/src/warmstart/ipm_polish_extension.cpp                                   65                 0   100.00%          16                 0   100.00%         168                 0   100.00%          36                 0   100.00%
home/ghecht/Projects/hven/src/warmstart/warm_start.cpp                                             43                 1    97.67%           1                 0   100.00%          77                 4    94.81%          38                 3    92.11%
home/ghecht/Projects/hven/src/warmstart/warm_start_data.cpp                                        71                 0   100.00%          16                 0   100.00%         172                 0   100.00%          44                 0   100.00%

Files which contain no functions:
opt/intel/oneapi/mkl/latest/include/mkl_lapacke.h                                                   0                 0         -           0                 0         -           0                 0         -           0                 0         -
opt/intel/oneapi/mkl/latest/include/mkl_service.h                                                   0                 0         -           0                 0         -           0                 0         -           0                 0         -
opt/intel/oneapi/mkl/latest/include/mkl_types.h                                                     0                 0         -           0                 0         -           0                 0         -           0                 0         -
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                                                           11581              1630    85.93%        1809               352    80.54%       23638              4080    82.74%        8296              1637    80.27%
