arm,kind,round,row_index,row,wall_s
e2,culprit,4,16,hs071_x1_fixed/MakeParameter/cap1,0.000089020
e2,culprit,4,17,infeas2_spike/MakeParameter/stalled,0.000638906
e2,culprit,4,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000191479
e2,culprit,5,0,f7_n1000_bound_physics/MakeParameter,0.365400137
e2,culprit,5,1,f7_n1000_bound_physics/MakeConstraint,0.032619602
e2,culprit,5,2,f7_n1000_bound_physics/RelaxBounds,0.032568442
e2,culprit,5,3,f7_n5000_bound_physics/MakeParameter,0.185819268
e2,culprit,5,4,f7_n5000_bound_physics/MakeConstraint,0.178338814
e2,culprit,5,5,f7_n5000_bound_physics/RelaxBounds,0.179212101
e2,culprit,5,6,f7_n10000_bound_neutral/MakeParameter,0.553770553
e2,culprit,5,7,f7_n10000_bound_neutral/MakeConstraint,0.538985125
e2,culprit,5,8,f7_n10000_bound_neutral/RelaxBounds,0.537539332
e2,culprit,5,9,f7_n20000_bound_neutral/MakeParameter,1.164969458
e2,culprit,5,10,f7_n20000_bound_neutral/MakeConstraint,1.124294595
e2,culprit,5,11,f7_n20000_bound_neutral/RelaxBounds,1.123063081
e2,culprit,5,12,hs071_x1_fixed/MakeParameter,0.000184569
e2,culprit,5,13,hs071_x1_fixed/MakeConstraint,0.000137830
e2,culprit,5,14,hs071_x1_fixed/RelaxBounds,0.000140989
e2,culprit,5,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016717449
e2,culprit,5,16,hs071_x1_fixed/MakeParameter/cap1,0.000089079
e2,culprit,5,17,infeas2_spike/MakeParameter/stalled,0.000637087
e2,culprit,5,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000192079
e3,E1,1,0,f7_n1000_bound_physics/MakeParameter,0.219769483
e3,E1,1,1,f7_n1000_bound_physics/MakeConstraint,0.032583812
e3,E1,1,2,f7_n1000_bound_physics/RelaxBounds,0.032387083
e3,E1,1,3,f7_n5000_bound_physics/MakeParameter,0.187364901
e3,E1,1,4,f7_n5000_bound_physics/MakeConstraint,0.180350235
e3,E1,1,5,f7_n5000_bound_physics/RelaxBounds,0.177266650
e3,E1,1,6,f7_n10000_bound_neutral/MakeParameter,0.545564373
e3,E1,1,7,f7_n10000_bound_neutral/MakeConstraint,0.537984070
e3,E1,1,8,f7_n10000_bound_neutral/RelaxBounds,0.538513468
e3,E1,1,9,f7_n20000_bound_neutral/MakeParameter,1.156351309
e3,E1,1,10,f7_n20000_bound_neutral/MakeConstraint,1.121478759
e3,E1,1,11,f7_n20000_bound_neutral/RelaxBounds,1.109961685
e3,E1,1,12,hs071_x1_fixed/MakeParameter,0.000177959
e3,E1,1,13,hs071_x1_fixed/MakeConstraint,0.000127950
e3,E1,1,14,hs071_x1_fixed/RelaxBounds,0.000135759
e3,E1,1,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016874178
e3,E1,1,16,hs071_x1_fixed/MakeParameter/cap1,0.000085410
e3,E1,1,17,infeas2_spike/MakeParameter/stalled,0.000588997
e3,E1,1,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000181039
e3,E1,2,0,f7_n1000_bound_physics/MakeParameter,0.236636232
e3,E1,2,1,f7_n1000_bound_physics/MakeConstraint,0.032495862
e3,E1,2,2,f7_n1000_bound_physics/RelaxBounds,0.032495202
e3,E1,2,3,f7_n5000_bound_physics/MakeParameter,0.186430036
