arm,commit,sha,round,row_index,row,wall_s
02,8ae1618,8ae1618,2,13,hs071_x1_fixed/MakeConstraint,0.000135759
02,8ae1618,8ae1618,2,14,hs071_x1_fixed/RelaxBounds,0.000127499
02,8ae1618,8ae1618,2,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016275961
02,8ae1618,8ae1618,2,16,hs071_x1_fixed/MakeParameter/cap1,0.000079170
02,8ae1618,8ae1618,2,17,infeas2_spike/MakeParameter/stalled,0.000595697
02,8ae1618,8ae1618,2,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000188949
02,8ae1618,8ae1618,3,0,f7_n1000_bound_physics/MakeParameter,0.297663716
02,8ae1618,8ae1618,3,1,f7_n1000_bound_physics/MakeConstraint,0.032310033
02,8ae1618,8ae1618,3,2,f7_n1000_bound_physics/RelaxBounds,0.032242253
02,8ae1618,8ae1618,3,3,f7_n5000_bound_physics/MakeParameter,0.180920472
02,8ae1618,8ae1618,3,4,f7_n5000_bound_physics/MakeConstraint,0.175168550
02,8ae1618,8ae1618,3,5,f7_n5000_bound_physics/RelaxBounds,0.174898981
02,8ae1618,8ae1618,3,6,f7_n10000_bound_neutral/MakeParameter,0.538041999
02,8ae1618,8ae1618,3,7,f7_n10000_bound_neutral/MakeConstraint,0.526759865
02,8ae1618,8ae1618,3,8,f7_n10000_bound_neutral/RelaxBounds,0.528016148
02,8ae1618,8ae1618,3,9,f7_n20000_bound_neutral/MakeParameter,1.140441267
02,8ae1618,8ae1618,3,10,f7_n20000_bound_neutral/MakeConstraint,1.101135508
02,8ae1618,8ae1618,3,11,f7_n20000_bound_neutral/RelaxBounds,1.101481546
02,8ae1618,8ae1618,3,12,hs071_x1_fixed/MakeParameter,0.000170229
02,8ae1618,8ae1618,3,13,hs071_x1_fixed/MakeConstraint,0.000125339
02,8ae1618,8ae1618,3,14,hs071_x1_fixed/RelaxBounds,0.000131460
02,8ae1618,8ae1618,3,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016181821
02,8ae1618,8ae1618,3,16,hs071_x1_fixed/MakeParameter/cap1,0.000075140
02,8ae1618,8ae1618,3,17,infeas2_spike/MakeParameter/stalled,0.000598997
02,8ae1618,8ae1618,3,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000182929
02,8ae1618,8ae1618,4,0,f7_n1000_bound_physics/MakeParameter,0.304819921
02,8ae1618,8ae1618,4,1,f7_n1000_bound_physics/MakeConstraint,0.032269314
02,8ae1618,8ae1618,4,2,f7_n1000_bound_physics/RelaxBounds,0.032301463
02,8ae1618,8ae1618,4,3,f7_n5000_bound_physics/MakeParameter,0.182217406
02,8ae1618,8ae1618,4,4,f7_n5000_bound_physics/MakeConstraint,0.175282620
02,8ae1618,8ae1618,4,5,f7_n5000_bound_physics/RelaxBounds,0.174774482
02,8ae1618,8ae1618,4,6,f7_n10000_bound_neutral/MakeParameter,0.548042651
02,8ae1618,8ae1618,4,7,f7_n10000_bound_neutral/MakeConstraint,0.526120207
02,8ae1618,8ae1618,4,8,f7_n10000_bound_neutral/RelaxBounds,0.528688895
02,8ae1618,8ae1618,4,9,f7_n20000_bound_neutral/MakeParameter,1.136527346
02,8ae1618,8ae1618,4,10,f7_n20000_bound_neutral/MakeConstraint,1.102384232
02,8ae1618,8ae1618,4,11,f7_n20000_bound_neutral/RelaxBounds,1.115325559
02,8ae1618,8ae1618,4,12,hs071_x1_fixed/MakeParameter,0.000170049
