arm,task,sha,mode,cell,round,instructions,branches,cycles,branch_misses,l1_icache_load_misses
a02,T8.1,b3915ff,ssn,f7_n20000_bound_neutral,3,11674694058,1834990344,4309045937,9489961,819434
a02,T8.1,b3915ff,ssn,f7_n20000_bound_neutral,4,11674692940,1834989914,4318275047,9530929,805274
a02,T8.1,b3915ff,ssn,f7_n20000_bound_neutral,5,11674692988,1834989923,4312556762,9425329,824783
a02,T8.1,b3915ff,walk,f7_n1000_bound_neutral,1,261299170,39748824,87455523,297420,17533
a02,T8.1,b3915ff,walk,f7_n1000_bound_neutral,2,261299223,39748813,87233529,298415,17263
a02,T8.1,b3915ff,walk,f7_n1000_bound_neutral,3,261292750,39746448,87053778,298317,17139
a02,T8.1,b3915ff,walk,f7_n1000_bound_neutral,4,261298402,39748590,87279614,298545,17243
a02,T8.1,b3915ff,walk,f7_n1000_bound_neutral,5,261298385,39748582,87570128,300903,17830
a02,T8.1,b3915ff,walk,f7_n5000_bound_neutral,1,1333974453,202369338,437250294,1247375,65000
a02,T8.1,b3915ff,walk,f7_n5000_bound_neutral,2,1333975427,202369449,435082677,1234831,62938
a02,T8.1,b3915ff,walk,f7_n5000_bound_neutral,3,1333974437,202369335,434853833,1227064,61282
a02,T8.1,b3915ff,walk,f7_n5000_bound_neutral,4,1333975228,202369578,435601258,1228836,62698
a02,T8.1,b3915ff,walk,f7_n5000_bound_neutral,5,1333972072,202369031,439629872,1240730,64426
a02,T8.1,b3915ff,walk,f7_n20000_bound_neutral,1,5640389444,857540815,1888170905,4873591,239454
a02,T8.1,b3915ff,walk,f7_n20000_bound_neutral,2,5640382775,857538316,1871467578,4880723,251237
a02,T8.1,b3915ff,walk,f7_n20000_bound_neutral,3,5640389447,857540808,1868581075,4854269,231068
a02,T8.1,b3915ff,walk,f7_n20000_bound_neutral,4,5640389091,857540688,1868681443,4868299,239788
a02,T8.1,b3915ff,walk,f7_n20000_bound_neutral,5,5640389449,857540815,1869651539,4846072,193953
a03,T8.2,b43580f,ipm,f7_n1000_bound_neutral,1,749115072,112841347,248933331,533587,55356
a03,T8.2,b43580f,ipm,f7_n1000_bound_neutral,2,749114553,112841153,248101658,535597,55069
a03,T8.2,b43580f,ipm,f7_n1000_bound_neutral,3,749121069,112843500,248504147,532201,52356
a03,T8.2,b43580f,ipm,f7_n1000_bound_neutral,4,749121003,112843490,249687491,535494,54901
a03,T8.2,b43580f,ipm,f7_n1000_bound_neutral,5,749119989,112843189,241334315,530979,61880
a03,T8.2,b43580f,ipm,f7_n5000_bound_neutral,1,3834876437,577330856,1260932834,2048752,242690
a03,T8.2,b43580f,ipm,f7_n5000_bound_neutral,2,3834875402,577330538,1259279860,2030316,215046
a03,T8.2,b43580f,ipm,f7_n5000_bound_neutral,3,3834875367,577330536,1260561412,2060191,222294
a03,T8.2,b43580f,ipm,f7_n5000_bound_neutral,4,3834876436,577330859,1254186018,2033242,226369
a03,T8.2,b43580f,ipm,f7_n5000_bound_neutral,5,3834868658,577327926,1221549433,2041886,265781
a03,T8.2,b43580f,ipm,f7_n20000_bound_neutral,1,15958321681,2405656495,5425303533,8204538,847787
a03,T8.2,b43580f,ipm,f7_n20000_bound_neutral,2,15958321649,2405656479,5421498167,8222250,851736
a03,T8.2,b43580f,ipm,f7_n20000_bound_neutral,3,15958321670,2405656473,5416302352,8276700,845522
a03,T8.2,b43580f,ipm,f7_n20000_bound_neutral,4,15958311530,2405652743,5400871896,8311284,844898
a03,T8.2,b43580f,ipm,f7_n20000_bound_neutral,5,15958321605,2405656438,5255731112,8192204,983439
a03,T8.2,b43580f,ssn,f7_n1000_bound_neutral,1,488477180,77310734,189590001,573210,33541
a03,T8.2,b43580f,ssn,f7_n1000_bound_neutral,2,488477442,77310809,189149090,569471,33673
a03,T8.2,b43580f,ssn,f7_n1000_bound_neutral,3,488475977,77310284,192047481,585771,34013
a03,T8.2,b43580f,ssn,f7_n1000_bound_neutral,4,488469805,77307964,190969883,573727,33666
a03,T8.2,b43580f,ssn,f7_n1000_bound_neutral,5,488477413,77310803,177547975,576666,34189
a03,T8.2,b43580f,ssn,f7_n5000_bound_neutral,1,2629034993,413930666,1014399299,2234215,158501
a03,T8.2,b43580f,ssn,f7_n5000_bound_neutral,2,2629035005,413930666,1015725092,2269205,152561
a03,T8.2,b43580f,ssn,f7_n5000_bound_neutral,3,2629034753,413930579,993238870,2252652,157147
a03,T8.2,b43580f,ssn,f7_n5000_bound_neutral,4,2629027799,413927981,1024682442,2228001,157607
a03,T8.2,b43580f,ssn,f7_n5000_bound_neutral,5,2629029270,413928493,944324722,2220891,160663
a03,T8.2,b43580f,ssn,f7_n20000_bound_neutral,1,11674693071,1834990023,4582263845,9308849,650473
a03,T8.2,b43580f,ssn,f7_n20000_bound_neutral,2,11674699094,1834992281,4560921146,9307110,632708
a03,T8.2,b43580f,ssn,f7_n20000_bound_neutral,3,11674698777,1834992188,4579063979,9436571,655543
a03,T8.2,b43580f,ssn,f7_n20000_bound_neutral,4,11674697963,1834992236,4306216314,9271896,670077
a03,T8.2,b43580f,ssn,f7_n20000_bound_neutral,5,11674698983,1834992189,4295647900,9357764,662662
a03,T8.2,b43580f,walk,f7_n1000_bound_neutral,1,261293454,39746692,90291151,298545,15290
a03,T8.2,b43580f,walk,f7_n1000_bound_neutral,2,261294246,39746991,90277729,296439,15340
a03,T8.2,b43580f,walk,f7_n1000_bound_neutral,3,261298467,39748628,90754358,304609,14741
a03,T8.2,b43580f,walk,f7_n1000_bound_neutral,4,261281961,39742447,87404964,307049,14887
a03,T8.2,b43580f,walk,f7_n1000_bound_neutral,5,261292859,39746521,87076016,298368,14567
a03,T8.2,b43580f,walk,f7_n5000_bound_neutral,1,1333974522,202369378,457035475,1228124,51438
a03,T8.2,b43580f,walk,f7_n5000_bound_neutral,2,1333968786,202367245,454366200,1213934,50819
a03,T8.2,b43580f,walk,f7_n5000_bound_neutral,3,1333975258,202369612,456502641,1226705,52635
a03,T8.2,b43580f,walk,f7_n5000_bound_neutral,4,1333967767,202366857,438674699,1236714,49181
a03,T8.2,b43580f,walk,f7_n5000_bound_neutral,5,1333968642,202367177,435842287,1214946,48523
a03,T8.2,b43580f,walk,f7_n20000_bound_neutral,1,5640382377,857538240,1938718961,4809617,190335
a03,T8.2,b43580f,walk,f7_n20000_bound_neutral,2,5640388769,857540644,1934390671,4846790,195666
a03,T8.2,b43580f,walk,f7_n20000_bound_neutral,3,5640382825,857538412,1938842384,4835247,191704
a03,T8.2,b43580f,walk,f7_n20000_bound_neutral,4,5640388774,857540639,1869570783,4862799,186678
a03,T8.2,b43580f,walk,f7_n20000_bound_neutral,5,5640389493,857540844,1865708144,4801768,180466
a04,T8.3,510a4bb,ipm,f7_n1000_bound_neutral,1,749121783,112843596,241775332,547540,76018
a04,T8.3,510a4bb,ipm,f7_n1000_bound_neutral,2,749120669,112843256,241383880,543759,75901
a04,T8.3,510a4bb,ipm,f7_n1000_bound_neutral,3,749120708,112843273,247564262,551354,77299
a04,T8.3,510a4bb,ipm,f7_n1000_bound_neutral,4,749117078,112841829,241513497,546238,77513
a04,T8.3,510a4bb,ipm,f7_n1000_bound_neutral,5,749120746,112843278,242360807,548897,88383
a04,T8.3,510a4bb,ipm,f7_n5000_bound_neutral,1,3834402045,577155936,1223489634,2106140,352751
a04,T8.3,510a4bb,ipm,f7_n5000_bound_neutral,2,3834394583,577153150,1223711331,2097193,350700
a04,T8.3,510a4bb,ipm,f7_n5000_bound_neutral,3,3834395302,577153414,1222254323,2099127,358059
a04,T8.3,510a4bb,ipm,f7_n5000_bound_neutral,4,3834400906,577155589,1224632320,2088329,349811
a04,T8.3,510a4bb,ipm,f7_n5000_bound_neutral,5,3834395358,577153436,1223562768,2090893,395352
a04,T8.3,510a4bb,ipm,f7_n20000_bound_neutral,1,15958316837,2405654492,5256052647,8462281,1257505
a04,T8.3,510a4bb,ipm,f7_n20000_bound_neutral,2,15958315665,2405654070,5257417905,8406597,1276634
a04,T8.3,510a4bb,ipm,f7_n20000_bound_neutral,3,15958321250,2405656218,5256944006,8421002,1265157
a04,T8.3,510a4bb,ipm,f7_n20000_bound_neutral,4,15958321234,2405656206,5254990887,8372034,1272243
a04,T8.3,510a4bb,ipm,f7_n20000_bound_neutral,5,15958316900,2405654517,5256567582,8398799,1400690
a04,T8.3,510a4bb,ssn,f7_n1000_bound_neutral,1,488553815,77338851,179395755,598622,36196
a04,T8.3,510a4bb,ssn,f7_n1000_bound_neutral,2,488554038,77338913,179656839,596988,36284
a04,T8.3,510a4bb,ssn,f7_n1000_bound_neutral,3,488546490,77336108,179321485,595121,37192
a04,T8.3,510a4bb,ssn,f7_n1000_bound_neutral,4,488554045,77338922,179551627,599404,36337
a04,T8.3,510a4bb,ssn,f7_n1000_bound_neutral,5,488554038,77338918,179471082,599663,39225
a04,T8.3,510a4bb,ssn,f7_n5000_bound_neutral,1,2629035535,413930714,955330038,2320027,185814
a04,T8.3,510a4bb,ssn,f7_n5000_bound_neutral,2,2629035276,413930625,954008665,2321000,190132
a04,T8.3,510a4bb,ssn,f7_n5000_bound_neutral,3,2629027877,413927855,954733092,2306328,197214
a04,T8.3,510a4bb,ssn,f7_n5000_bound_neutral,4,2629035506,413930697,953572955,2308285,194912
a04,T8.3,510a4bb,ssn,f7_n5000_bound_neutral,5,2629035479,413930693,953778245,2307224,215220
a04,T8.3,510a4bb,ssn,f7_n20000_bound_neutral,1,11676214324,1835550338,4349401734,9649734,759141
a04,T8.3,510a4bb,ssn,f7_n20000_bound_neutral,2,11676213781,1835550140,4355153735,9563086,792232
a04,T8.3,510a4bb,ssn,f7_n20000_bound_neutral,3,11676219416,1835552243,4350837016,9443750,791370
a04,T8.3,510a4bb,ssn,f7_n20000_bound_neutral,4,11676214930,1835551104,4336731449,8978286,800353
a04,T8.3,510a4bb,ssn,f7_n20000_bound_neutral,5,11676218814,1835551997,4349550974,9538149,878938
a04,T8.3,510a4bb,walk,f7_n1000_bound_neutral,1,261299807,39748925,87557558,305425,17355
a04,T8.3,510a4bb,walk,f7_n1000_bound_neutral,2,261299778,39748925,87223611,302421,18124
a04,T8.3,510a4bb,walk,f7_n1000_bound_neutral,3,261282008,39742299,87400297,301646,17748
a04,T8.3,510a4bb,walk,f7_n1000_bound_neutral,4,261299796,39748929,87527011,308404,18153
a04,T8.3,510a4bb,walk,f7_n1000_bound_neutral,5,261293033,39746441,87455066,304317,18367
a04,T8.3,510a4bb,walk,f7_n5000_bound_neutral,1,1333975129,202369466,437223462,1245906,62028
a04,T8.3,510a4bb,walk,f7_n5000_bound_neutral,2,1333975923,202369715,435935836,1246396,68323
a04,T8.3,510a4bb,walk,f7_n5000_bound_neutral,3,1333974288,202369090,437397595,1250676,67299
a04,T8.3,510a4bb,walk,f7_n5000_bound_neutral,4,1333975062,202369436,436929890,1256743,66091
a04,T8.3,510a4bb,walk,f7_n5000_bound_neutral,5,1333975098,202369453,436668820,1252202,67386
a04,T8.3,510a4bb,walk,f7_n20000_bound_neutral,1,5638869311,856980687,1872049125,4903877,254274
a04,T8.3,510a4bb,walk,f7_n20000_bound_neutral,2,5638870091,856980915,1872730536,4912309,271140
a04,T8.3,510a4bb,walk,f7_n20000_bound_neutral,3,5638870219,856980942,1872319029,4935618,272017
a04,T8.3,510a4bb,walk,f7_n20000_bound_neutral,4,5638869344,856980694,1876453486,4896925,256944
a04,T8.3,510a4bb,walk,f7_n20000_bound_neutral,5,5638870121,856980941,1874863574,4935943,272837
a05,T8.4,3c8e43b,ipm,f7_n1000_bound_neutral,1,749457960,112898437,242986548,540979,46923
a05,T8.4,3c8e43b,ipm,f7_n1000_bound_neutral,2,749463241,112900417,241845832,540507,50646
a05,T8.4,3c8e43b,ipm,f7_n1000_bound_neutral,3,749464321,112900751,241723575,536427,47607
a05,T8.4,3c8e43b,ipm,f7_n1000_bound_neutral,4,749464324,112900745,241644378,534824,50714
a05,T8.4,3c8e43b,ipm,f7_n1000_bound_neutral,5,749457538,112898280,241619904,540643,50098
a05,T8.4,3c8e43b,ipm,f7_n5000_bound_neutral,1,3836088540,577435870,1222606460,2040450,213056
a05,T8.4,3c8e43b,ipm,f7_n5000_bound_neutral,2,3836088562,577435873,1223798326,2069626,218273
a05,T8.4,3c8e43b,ipm,f7_n5000_bound_neutral,3,3836079783,577432662,1237104811,2077622,199437
a05,T8.4,3c8e43b,ipm,f7_n5000_bound_neutral,4,3836088617,577435892,1222143122,2046000,222828
a05,T8.4,3c8e43b,ipm,f7_n5000_bound_neutral,5,3836087487,577435554,1225307273,2056380,226928
a05,T8.4,3c8e43b,ipm,f7_n20000_bound_neutral,1,15965047811,2406771637,5325720220,8730022,858088
a05,T8.4,3c8e43b,ipm,f7_n20000_bound_neutral,2,15965048912,2406771961,5258741299,8280872,866189
a05,T8.4,3c8e43b,ipm,f7_n20000_bound_neutral,3,15965048882,2406771942,5269401739,8271299,859758
a05,T8.4,3c8e43b,ipm,f7_n20000_bound_neutral,4,15965048869,2406771937,5250365973,8223259,850596
a05,T8.4,3c8e43b,ipm,f7_n20000_bound_neutral,5,15965050743,2406773083,5277854268,8298726,882599
a05,T8.4,3c8e43b,ssn,f7_n1000_bound_neutral,1,488895784,77395870,178182507,590468,29197
a05,T8.4,3c8e43b,ssn,f7_n1000_bound_neutral,2,488896043,77395949,177968440,583672,29618
a05,T8.4,3c8e43b,ssn,f7_n1000_bound_neutral,3,488889538,77393524,178119054,584362,29156
a05,T8.4,3c8e43b,ssn,f7_n1000_bound_neutral,4,488895835,77395875,177764653,579778,29161
a05,T8.4,3c8e43b,ssn,f7_n1000_bound_neutral,5,488896072,77395955,178121568,580791,29593
a05,T8.4,3c8e43b,ssn,f7_n5000_bound_neutral,1,2630721868,414210587,948154643,2264664,141554
a05,T8.4,3c8e43b,ssn,f7_n5000_bound_neutral,2,2630722095,414210644,947101168,2260525,150684
a05,T8.4,3c8e43b,ssn,f7_n5000_bound_neutral,3,2630722141,414210669,947519383,2274498,152103
a05,T8.4,3c8e43b,ssn,f7_n5000_bound_neutral,4,2630715748,414208286,946906748,2249093,147583
a05,T8.4,3c8e43b,ssn,f7_n5000_bound_neutral,5,2630721851,414210574,947592846,2274699,130753
a05,T8.4,3c8e43b,ssn,f7_n20000_bound_neutral,1,11682944853,1836667267,4309229372,9409633,633436
a05,T8.4,3c8e43b,ssn,f7_n20000_bound_neutral,2,11682940266,1836665572,4301403074,9461158,631819
a05,T8.4,3c8e43b,ssn,f7_n20000_bound_neutral,3,11682939922,1836665441,4315737457,9394244,634683
a05,T8.4,3c8e43b,ssn,f7_n20000_bound_neutral,4,11682945691,1836667570,4309049160,9372866,632307
a05,T8.4,3c8e43b,ssn,f7_n20000_bound_neutral,5,11682945720,1836667608,4319185197,9477848,644746
a05,T8.4,3c8e43b,walk,f7_n1000_bound_neutral,1,261635706,39803585,87648224,306803,14286
a05,T8.4,3c8e43b,walk,f7_n1000_bound_neutral,2,261640648,39805660,87767755,299374,14279
a05,T8.4,3c8e43b,walk,f7_n1000_bound_neutral,3,261641434,39805904,87628304,302489,13614
a05,T8.4,3c8e43b,walk,f7_n1000_bound_neutral,4,261641450,39805913,87735746,299404,14273
a05,T8.4,3c8e43b,walk,f7_n1000_bound_neutral,5,261640638,39805657,87387938,301836,14083
a05,T8.4,3c8e43b,walk,f7_n5000_bound_neutral,1,1335654786,202646946,435793058,1225065,50185
a05,T8.4,3c8e43b,walk,f7_n5000_bound_neutral,2,1335661545,202649421,435164961,1223857,50076
a05,T8.4,3c8e43b,walk,f7_n5000_bound_neutral,3,1335660782,202649196,435389800,1222164,49842
a05,T8.4,3c8e43b,walk,f7_n5000_bound_neutral,4,1335662319,202649490,435119379,1219977,50982
a05,T8.4,3c8e43b,walk,f7_n5000_bound_neutral,5,1335660767,202649185,435699601,1229431,48035
a05,T8.4,3c8e43b,walk,f7_n20000_bound_neutral,1,5645590670,858094073,1867882926,4862341,189704
a05,T8.4,3c8e43b,walk,f7_n20000_bound_neutral,2,5645590549,858094031,1868262937,4823955,186968
a05,T8.4,3c8e43b,walk,f7_n20000_bound_neutral,3,5645596825,858096378,1864996295,4837661,186563
a05,T8.4,3c8e43b,walk,f7_n20000_bound_neutral,4,5645596770,858096365,1869405691,4884741,183668
a05,T8.4,3c8e43b,walk,f7_n20000_bound_neutral,5,5645596044,858096134,1866085883,4842958,177379
a06,T8.5,8f95655,ipm,f7_n1000_bound_neutral,1,749463729,112900518,242498777,539092,50475
a06,T8.5,8f95655,ipm,f7_n1000_bound_neutral,2,749464850,112900859,241219418,533601,51520
a06,T8.5,8f95655,ipm,f7_n1000_bound_neutral,3,749464800,112900840,241349806,540927,51845
a06,T8.5,8f95655,ipm,f7_n1000_bound_neutral,4,749464785,112900836,242714119,540776,53955
a06,T8.5,8f95655,ipm,f7_n1000_bound_neutral,5,749459591,112898870,242313513,539756,51878
a06,T8.5,8f95655,ipm,f7_n5000_bound_neutral,1,3836080273,577432741,1218385834,2048882,216672
a06,T8.5,8f95655,ipm,f7_n5000_bound_neutral,2,3836089074,577435963,1216890520,2048614,222098
a06,T8.5,8f95655,ipm,f7_n5000_bound_neutral,3,3836088009,577435638,1219761801,2045967,222595
a06,T8.5,8f95655,ipm,f7_n5000_bound_neutral,4,3836088011,577435646,1219511020,2078919,217880
a06,T8.5,8f95655,ipm,f7_n5000_bound_neutral,5,3836089094,577435965,1225065814,2077508,207358
a06,T8.5,8f95655,ipm,f7_n20000_bound_neutral,1,15965050372,2406772153,5244006923,8287615,792403
a06,T8.5,8f95655,ipm,f7_n20000_bound_neutral,2,15965049431,2406772056,5249336218,8308329,802166
a06,T8.5,8f95655,ipm,f7_n20000_bound_neutral,3,15965049421,2406772036,5246568497,8266192,811729
a06,T8.5,8f95655,ipm,f7_n20000_bound_neutral,4,15965042515,2406769464,5249785624,8310400,813311
