path,class
tests/sqp/test_eqp_solve.cpp,original
tests/sqp/test_funnel.cpp,original
tests/sqp/test_hs_battery.cpp,original
tests/sqp/test_hs_sweeps.cpp,original
tests/sqp/test_kkt_assembly.cpp,original
tests/sqp/test_kkt_calls.cpp,original
tests/sqp/test_kkt_inertia_probe.cpp,original
tests/sqp/test_kkt_partial_solve.cpp,original
tests/sqp/test_ledger.cpp,original
tests/sqp/test_mesh_transfer.cpp,original
tests/sqp/test_nlp_model.cpp,original
tests/sqp/test_parametric_families.cpp,original
tests/sqp/test_predictor.cpp,original
tests/sqp/test_qp_engine.cpp,original
tests/sqp/test_qp_engine_border.cpp,original
tests/sqp/test_qp_engine_indefinite.cpp,original
tests/sqp/test_qp_engine_tr.cpp,original
tests/sqp/test_qp_warm_start.cpp,original
tests/sqp/test_scaffold.cpp,original
tests/sqp/test_scale_problems.cpp,original
tests/sqp/test_scale_smoke.cpp,original
tests/sqp/test_schur.cpp,original
tests/sqp/test_snopt_bridge_gate.cpp,original
tests/sqp/test_sqp_driver.cpp,original
tests/sqp/test_sqp_restoration.cpp,original
tests/sqp/test_ssn_engine.cpp,original
tests/sqp/test_types.cpp,original
tests/sqp/test_warm_start.cpp,original
tests/sqp/test_warm_start_battery.cpp,original
