kind,symbol,file,line,text
accelerate_call,SparseCleanup,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,161,SparseCleanup(*sym);
accelerate_call,SparseFactorization,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,231,template <typename MatrixType_; int UpLo_; SparseFactorization_t Solver_; bool EnforceSquare_>
accelerate_call,SparseSolverBase,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,233,: public SparseSolverBase<AccelerateImpl<MatrixType_; UpLo_; Solver_; EnforceSquare_>> {
accelerate_call,SparseSolverBase,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,235,using Base = SparseSolverBase<AccelerateImpl>;
accelerate_call,SparseFactorization,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,399,template <SparseFactorization_t S = Solver_>
accelerate_call,SparseFactorizationLDLTTPP,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,400,std::enable_if_t<S == SparseFactorizationLDLTTPP; Index> peigs() const {
accelerate_call,SparseFactorization,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,404,template <SparseFactorization_t S = Solver_>
accelerate_call,SparseFactorizationLDLTTPP,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,405,std::enable_if_t<S == SparseFactorizationLDLTTPP; Index> neigs() const {
accelerate_call,SparseFactorization,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,409,template <SparseFactorization_t S = Solver_>
accelerate_call,SparseFactorizationLDLTTPP,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,410,std::enable_if_t<S == SparseFactorizationLDLTTPP; Index> zeigs() const {
accelerate_call,SparseFactorizationLDLTTPP,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,444,if constexpr (Solver_ == SparseFactorizationLDLTTPP) {
accelerate_call,SparseGetInertia,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,447,if (SparseGetInertia(*m_numericFactorization; &np; &nz; &nn) == 0) {
accelerate_call,SparseFactor,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,568,new SymbolicFactorization(SparseFactor(Solver_; accel_matrix_.structure; fopts)));
accelerate_call,SparseFactor,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,601,SparseFactor(*m_symbolicFactorization; accel_matrix_; nopts;
accelerate_call,SparseRefactor,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,639,SparseRefactor(accel_matrix_; m_numericFactorization.get(); ws);
accelerate_call,SparseFactorizationFailed,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,660,case SparseFactorizationFailed
accelerate_call,SparseFactorization,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,699,template <typename MatrixType_; int UpLo_; SparseFactorization_t Solver_; bool EnforceSquare_>
